index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
2,\wallet\src\de\schildbach\wallet\AddressBookProvider.Helper.java,Helper,67,3,3,0,0,True,False,1,True,False,1,6,3,3,True,False,True,True,False,private,2,1,0,False,Service Provider
3,\wallet\src\de\schildbach\wallet\AddressBookProvider.java,AddressBookProvider,152,8,9,0,1,True,False,3,True,False,10,20,8,32,False,False,False,True,False,public,8,1,0,False,Service Provider
4,\wallet\src\de\schildbach\wallet\Constants.java,Constants,103,71,0,0,0,False,False,1,False,False,0,0,8,4,False,False,False,True,False,public,0,0,0,False,Information Holder
5,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.ExchangeRate.java,ExchangeRate,40,3,1,0,0,False,False,2,False,False,0,0,3,1,True,False,True,True,False,public,1,0,0,False,Information Holder
6,\wallet\src\de\schildbach\wallet\WalletApplication.WalletAutosaveEventListener.java,WalletAutosaveEventListener,37,0,2,0,0,False,False,4,True,False,1,2,3,0,True,False,True,True,False,private,2,0,0,False,Service Provider
7,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.java,ExchangeRatesProvider,251,13,10,0,2,False,False,3,True,False,16,19,27,19,False,False,False,True,False,public,8,2,0,False,Service Provider
8,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,78,0,2,0,0,False,False,4,True,False,0,7,21,4,False,False,False,True,False,public,2,0,0,False,Service Provider
9,\wallet\src\de\schildbach\wallet\WalletApplication.java,WalletApplication,414,10,22,0,1,False,False,2,False,False,18,6,51,50,False,False,False,True,False,public,13,9,0,False,Interfacer
10,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,136,2,5,0,0,False,False,1,False,False,6,9,2,5,False,False,False,True,False,public,2,3,0,False,Service Provider
11,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,76,3,4,0,0,False,False,2,False,False,0,5,11,2,False,False,False,True,False,public,3,1,0,False,Coordinator
12,\wallet\src\de\schildbach\wallet\util\Bluetooth.java,Bluetooth,39,2,2,0,0,False,False,1,False,False,0,2,2,3,False,False,False,True,False,public,2,0,0,False,Information Holder
13,\wallet\src\de\schildbach\wallet\util\CrashReporter.ExceptionHandler.java,ExceptionHandler,53,1,2,0,0,False,False,2,True,False,0,3,6,1,True,False,True,True,False,private,1,1,0,False,Service Provider
14,\wallet\src\de\schildbach\wallet\util\CircularProgressView.java,CircularProgressView,141,9,10,5,1,False,False,3,False,False,3,15,10,4,False,False,False,True,False,public,6,1,3,False,Interfacer
15,\wallet\src\de\schildbach\wallet\util\CrashReporter.java,CrashReporter,268,6,13,0,0,False,False,2,True,False,6,19,29,37,False,False,False,True,False,public,9,4,0,False,Service Provider
16,\wallet\src\de\schildbach\wallet\util\Crypto.java,Crypto,272,10,8,0,1,False,False,1,False,False,4,14,20,4,False,False,False,True,False,public,2,6,0,False,Service Provider
17,\wallet\src\de\schildbach\wallet\util\GenericUtils.java,GenericUtils,99,4,3,0,0,False,False,2,False,False,7,10,5,5,False,False,False,True,False,public,3,0,0,False,Service Provider
18,\wallet\src\de\schildbach\wallet\util\HttpGetThread.java,HttpGetThread,91,3,1,0,0,False,False,3,False,False,3,0,14,13,False,False,False,True,False,public,1,0,0,True,Interfacer
19,\wallet\src\de\schildbach\wallet\util\Io.java,Io,71,1,3,0,0,False,False,1,False,False,0,6,9,1,False,False,False,True,False,public,3,0,0,False,Service Provider
20,\wallet\src\de\schildbach\wallet\util\Iso8601Format.java,Iso8601Format,69,1,8,0,0,False,False,2,False,False,0,4,7,0,False,False,False,True,False,public,8,0,0,False,Service Provider
21,\wallet\src\de\schildbach\wallet\util\LinuxSecureRandom.LinuxSecureRandomProvider.java,LinuxSecureRandomProvider,31,0,0,0,0,False,False,4,True,False,0,0,1,1,True,False,True,True,False,private,0,0,0,False,Service Provider
22,\wallet\src\de\schildbach\wallet\util\LinuxSecureRandom.java,LinuxSecureRandom,86,2,3,0,0,False,False,3,False,False,1,3,7,2,False,False,False,True,False,public,0,0,3,False,Service Provider
23,\wallet\src\de\schildbach\wallet\util\Nfc.java,Nfc,111,1,9,0,0,False,False,1,False,False,8,20,10,8,False,False,False,True,False,public,4,5,0,False,Service Provider
24,\wallet\src\de\schildbach\wallet\util\Qr.java,Qr,108,2,3,0,0,False,False,1,False,False,1,4,18,8,False,False,False,True,False,public,3,0,0,False,Interfacer
